BoxAWetWeight,Urea_Kgs,Season,Variety,Country,BoxBLength,PlotSize_acres,CAN_Kgs,Year,BoxBDryWeight,DAP_Kgs,NPK_Kgs,BoxALength,BoxAWidth,PlantingDate,BoxBWetWeight,ImgID,Longitude,BoxBWidth,Latitude,BoxADryWeight
26.1,,2015 LR,,Kenya,8.0,0.5,0.0,2015,11.8,0.0,,8.0,5.0,,34.8,id_019ecb5e,34.45676418,5.0,0.225881027,17.15
20.0,,2015 LR,,Kenya,8.0,0.5,0.0,2015,15.5,4.0,,8.0,5.0,,26.0,id_01a8e05c,34.1643954,5.0,0.460272122,13.5
,,2017 LR,DK 8031,Kenya,8.0,0.5,25.0,2017,21.7,25.0,,8.0,5.0,,,id_01ac131d,34.43914642,5.0,0.254587107,19.4
18.2,,2016 LR,H_6213,Kenya,8.0,0.5,15.0,2016,7.05,10.0,,,5.0,4/3/2016,30.14,id_01b296b9,34.5584696,,0.582099159,14.0
20.5,,2016 LR,,Kenya,8.0,0.5,23.0,2016,9.4,25.0,,8.0,5.0,,22.0,id_01b512a5,34.5583712,5.0,0.5819827,9.1
20.4,,2018 LR,,Tanzania,6.0,1.0,,2018,13.1,,,6.0,6.0,,14.6,id_01b5a35a,34.8384675,6.0,-8.7220183,19.1
,,2018 LR,,Kenya,,0.5,,2018,18.62,,,,,,,id_01b5ea6c,35.0621013,,0.7779349,19.92
0.0,,2016 LR,Local,Kenya,8.0,0.25,4.0,2016,0.0,4.0,,,5.0,5/1/2016,0.0,id_01b61d40,34.8564748,,-0.4426728,0.0
,,2018 LR,,Kenya,,0.25,,2018,0.0,,,,,,,id_01b63ab7,34.79122522,,-0.665514189,7.5
10.4,20.0,2017B,,Rwanda,8.0,0.1186104,,2017,,30.0,0.0,8.0,3.0,2/27/2017,13.5,id_01b8d777,30.6594541,3.0,-2.046596773,
,,2015 LR,,Kenya,,1.0,50.0,2015,3.35,25.0,,,,,,id_01b9ab48,34.70086632,,-0.743528489,3.45
15.55,,2018 LR,h6218,Kenya,6.0,1.0,,2018,,50.0,,6.0,6.0,3/23/2018,14.0,id_01be62b3,34.8685736,6.0,0.8249876,
11.4,,2016 LR,Local,Kenya,8.0,0.25,0.0,2016,5.85,2.0,,,5.0,2/17/2016,9.2,id_01bf167f,34.72026987,,-0.824582252,6.5
,,2017 LR,DK 8031,Kenya,8.0,0.5,25.0,2017,16.2,25.0,,8.0,5.0,,,id_01c5cf6f,34.72653093,5.0,0.508394285,14.95
,,2018 LR,,Kenya,,0.5,,2018,19.4,,,,,,,id_01c88916,35.0762679,,0.7237985,16.05
31.0,,2015 LR,,Kenya,8.0,0.25,25.0,2015,14.85,25.0,,8.0,5.0,,29.0,id_01ca2da2,34.55808014,5.0,0.579232459,17.8
11.0,,2016 LR,Local,Kenya,8.0,0.125,0.0,2016,2.0,4.0,,,5.0,4/22/2016,10.5,id_01ccc3f0,34.89919084,,-0.47060656,2.5
,,2018 LR,,Kenya,,0.25,,2018,3.25,,,,,,,id_01cd2aa2,34.7160452,,0.1989555,2.7
36.2,,2016 LR,,Kenya,8.0,0.5,23.0,2016,10.8,25.0,,8.0,5.0,,19.0,id_01ce133f,34.33536465,5.0,0.212112946,21.5
41.75,,2015 LR,,Kenya,5.0,0.5,12.5,2015,29.65,12.5,,5.0,8.0,,38.15,id_01cf0c82,34.92740102,8.0,-0.531695873,30.05
,,2018 LR,,Kenya,,0.75,,2018,11.8,,,,,,,id_01cf52b3,34.5483504,,0.4332112,8.1
28.25,,2015 LR,,Kenya,5.0,0.25,12.5,2015,18.6,12.5,,5.0,8.0,,19.8,id_01d467c6,35.10692826,8.0,0.828033203,13.85
10.85,,2016 LR,,Kenya,8.0,0.25,25.0,2016,3.0,25.0,,8.0,5.0,,8.65,id_01d8af9e,34.47363729,5.0,0.470917843,4.0
,,2017 LR,,Kenya,8.0,1.0,50.0,2017,6.25,50.0,,8.0,5.0,,,id_01e0e4ad,34.29593013,5.0,0.337122322,8.0
,,2018 LR,,Kenya,,0.25,,2018,15.1,,,,,,,id_01e1a2b1,34.62715734,,0.278787958,18.5
6.5,,2018 LR,,Kenya,6.0,0.5,,2018,,,,6.0,6.0,,10.7,id_01e22430,37.1722857,6.0,-0.5454598,
53.4,,2015 LR,,Kenya,8.0,0.5,25.0,2015,32.0,25.0,,8.0,5.0,,42.25,id_01e5243a,34.97084084,5.0,0.793544713,19.7
,,2015 LR,,Kenya,,3.5,0.0,2015,13.5,50.0,,,,,,id_01ebd8cc,34.60894232,,-0.668360844,11.5
,,2017 LR,PN 15,Kenya,8.0,0.5,25.0,2017,12.3,25.0,,8.0,5.0,,,id_01ecf908,34.91325734,5.0,-0.445708833,15.5
0.0,,2018 LR,h6213,Kenya,6.0,1.0,,2018,,50.0,,6.0,6.0,3/16/2018,0.0,id_01efad86,35.1243686,6.0,0.3179719,
16.1,,2018 LR,h6213,Kenya,6.0,0.5,,2018,,25.0,,6.0,6.0,2/5/2018,14.7,id_01f0b65c,34.92670122,6.0,-0.886382471,
39.2,,2018 LR,h6213,Kenya,6.0,0.4,,2018,,25.0,,6.0,6.0,3/26/2018,29.4,id_01f11a42,35.1384851,6.0,0.7010663,
12.05,,2018 LR,pioneerp3812w,Kenya,6.0,0.75,,2018,,50.0,,6.0,6.0,3/15/2018,16.8,id_01f23526,34.77680826,6.0,0.597099555,
35.45,,2018 LR,,Kenya,6.0,0.5,,2018,,,,6.0,6.0,,28.7,id_01f3cea8,37.028449,6.0,-0.5491957,
,,2017 LR,H 6213,Kenya,8.0,0.2,,2017,7.45,,,8.0,5.0,,,id_01f541f8,35.00172014,,0.043593482,8.45
,,2017 LR,Pioneer P3812W,Kenya,8.0,0.25,,2017,3.2,,,8.0,5.0,,,id_01f5d68b,34.32421205,,0.12410503,7.9
6.2,,2018 LR,,Tanzania,6.0,0.5,,2018,11.7,,,6.0,6.0,,14.9,id_01f8c558,35.8712083,6.0,-7.7434164,4.8
12.0,,2015A,Unspecified hybrid,Rwanda,,0.0741315,,2015,,,,,,25-Sep-14,15.0,id_01fc4551,29.38524946,,-2.121157188,
,,2016 LR,PN 67,Tanzania,6.0,0.5,,2016,13.5,,,6.0,6.0,,,id_01fe42cf,35.84571,6.0,-7.7235689,17.0
